id_espaco,rua,tipo_ibge,lat,lon,nome_estab
IBGE-280186,"AVENIDA MAMEDE PAES MENDONCA, 585",Loja/Comércio/Serviço,-10.908079,-37.056606,SUBLIMAR
IBGE-280187,"AVENIDA MAMEDE PAES MENDONCA, 581",Galpão/Ruína/Obra,-10.90802,-37.05652,
IBGE-280188,"AVENIDA MAMEDE PAES MENDONCA, 577",Loja/Comércio/Serviço,-10.908045,-37.056447,ESTACIONAMENTO
IBGE-280189,"AVENIDA MAMEDE PAES MENDONCA, 0",Loja/Comércio/Serviço,-10.907993,-37.056396,ESTACIONAMENTO
IBGE-280190,"AVENIDA MAMEDE PAES MENDONCA, 555",Residencial,-10.908096,-37.056263,
IBGE-280191,"AVENIDA MAMEDE PAES MENDONCA, 537",Loja/Comércio/Serviço,-10.908002,-37.056233,LOJA
IBGE-280193,"AVENIDA MAMEDE PAES MENDONCA, 531",Residencial,-10.908074,-37.056111,
IBGE-280195,"AVENIDA MAMEDE PAES MENDONCA, 0",Loja/Comércio/Serviço,-10.908032,-37.056076,DEPOSITO SHOPPING DA REFRIGERACAO
IBGE-280166,"AVENIDA MAMEDE PAES MENDONCA, 0",Residencial,-10.907956,-37.05754,
IBGE-280182,"AVENIDA MAMEDE PAES MENDONCA, 619",Loja/Comércio/Serviço,-10.908131,-37.056925,IMPERIO MODAS
IBGE-280183,"AVENIDA MAMEDE PAES MENDONCA, 611",Loja/Comércio/Serviço,-10.908273,-37.056813,SINDICATO
IBGE-189337158,"AVENIDA MAMEDE PAES MENDONCA, 619",Loja/Comércio/Serviço,-10.908049,-37.056859,COURO E CIA
IBGE-189337161,"AVENIDA MAMEDE PAES MENDONCA, 587",Residencial,-10.90805,-37.056655,
IBGE-189337164,"AVENIDA MAMEDE PAES MENDONCA, 587",Residencial,-10.90805,-37.056655,
IBGE-189337168,"AVENIDA MAMEDE PAES MENDONCA, 587",Residencial,-10.90805,-37.056655,
IBGE-189337173,"AVENIDA MAMEDE PAES MENDONCA, 587",Residencial,-10.90805,-37.056655,
IBGE-189337178,"AVENIDA MAMEDE PAES MENDONCA, 587",Residencial,-10.90805,-37.056655,
IBGE-189337182,"AVENIDA MAMEDE PAES MENDONCA, 563",Loja/Comércio/Serviço,-10.908051,-37.056436,ESTACIONAMENTO
IBGE-189337185,"AVENIDA MAMEDE PAES MENDONCA, 619",Residencial,-10.908014,-37.05692,
IBGE-189337188,"AVENIDA MAMEDE PAES MENDONCA, 619",Residencial,-10.908014,-37.05692,
IBGE-189337191,"AVENIDA MAMEDE PAES MENDONCA, 619",Residencial,-10.908014,-37.05692,
IBGE-189337194,"AVENIDA MAMEDE PAES MENDONCA, 619",Residencial,-10.908014,-37.05692,
IBGE-189337197,"AVENIDA MAMEDE PAES MENDONCA, 619",Residencial,-10.908014,-37.05692,
IBGE-189337201,"AVENIDA MAMEDE PAES MENDONCA, 0",Loja/Comércio/Serviço,-10.908008,-37.05672,ESTACIONAMENTO
IBGE-280214,"RUA DIVINA PASTORA, 756",Residencial,-10.909232,-37.056242,
IBGE-280215,"RUA DIVINA PASTORA, 766",Residencial,-10.909212,-37.056239,
